sq,question,option_a,option_b,option_c,option_d,answer,type,category
"93","Which of these is true about interfaces?","They can have instance variables","They can have constructors","They can have abstract methods","They can have private methods","C","technical","OOPS"
"94","Which of the following is NOT a valid OOP principle?","Encapsulation","Polymorphism","Recursion","Inheritance","C","technical","OOPS"
"95","Which of the following allows the same operation to behave differently on different classes?","Polymorphism","Inheritance","Encapsulation","Abstraction","A","technical","OOPS"
"96","Which of the following best describes a constructor?","A method to destroy objects","A method to initialize objects","A method to override methods","A method to hide methods","B","technical","OOPS"
"97","Which of these keywords can be used to create a subclass?","extends","implements","super","class","A","technical","OOPS"
"98","Which of the following allows runtime decision-making for method invocation?","Method Overloading","Method Overriding","Encapsulation","Inheritance","B","technical","OOPS"
"99","What is the main difference between abstract class and interface?","Abstract classes can have concrete methods","Interfaces can have instance variables","Abstract classes cannot be inherited","Interfaces cannot be implemented","A","technical","OOPS"
"100","Which of the following ensures that a derived class has access to base class members?","Inheritance","Polymorphism","Abstraction","Encapsulation","A","technical","OOPS"
"101","Which type of caching stores the results of complex queries that don’t change often?","Page Caching","Object Caching","Query Caching","Write-Through Cache","C","technical","DBMS"
"102","Which cache type stores entire pages or parts of pages to avoid frequent database hits?","Query Caching","Object Caching","Page Caching","Write-Back Cache","C","technical","DBMS"
"103","Which cache stores objects in the application layer to avoid repeated database calls?","Object Caching","Page Caching","Query Caching","Write-Through Cache","A","technical","DBMS"
"104","In which cache type is data written simultaneously to cache and database?","Write-Through Cache","Write-Back Cache","Object Caching","Page Caching","A","technical","DBMS"
"105","Which cache writes data to cache first and asynchronously to database?","Write-Back Cache","Write-Through Cache","Query Caching","Object Caching","A","technical","DBMS"
"106","What is the process of verifying user identity called in database security?","Authorization","Authentication","Encryption","Data Masking","B","technical","DBMS"
"107","Which of the following encrypts data transmitted between database and client?","Encryption at Rest","Access Control","TLS/SSL","Audit Logs","C","technical","DBMS"
"108","Encrypting data stored on disk is called?","Encryption at Rest","Encryption in Transit","Access Control","Data Masking","A","technical","DBMS"
"109","Which mechanism restricts database access based on roles?","Audit Logs","Access Control","Data Masking","Backups","B","technical","DBMS"
"110","Which security feature hides sensitive data in non-production environments?","Encryption","Data Masking","Authentication","Replication","B","technical","DBMS"
"111","Which practice ensures database backups are stored securely?","Audit Logs","Replication","Backup Security","Access Control","C","technical","DBMS"
"112","What is a key consideration when handling database migrations in continuous deployment?","Transactional Migrations","Version Control","All of the above","None","D","technical","DBMS"
"113","Which tool is used to automate database schema changes?","Flyway","Liquibase","Both A and B","None","C","technical","DBMS"
"114","What is essential for backward compatibility during migrations?","Schema Versioning","Testing in Staging","Transactional Migrations","All of the above","D","technical","DBMS"
"115","Why is schema versioning important?","To track changes","To allow rollbacks","Both A and B","To optimize queries","C","technical","DBMS"
"116","Testing migrations in a staging environment ensures?","No production downtime","Data integrity","Both A and B","None","C","technical","DBMS"
"117","Which of the following ensures atomicity during migrations?","Version Control","Transactional Migrations","Monitoring","Schema Versioning","B","technical","DBMS"
"118","Which is a best practice for database testing?","Unit Testing","Integration Testing","Both A and B","None","C","technical","DBMS"
"119","Validating foreign key and unique constraints ensures?","Data Consistency","Security","High Availability","Performance","A","technical","DBMS"
"120","Which testing approach avoids affecting production data?","Automated Testing","Mock Databases","Rollback Testing","Integration Testing","B","technical","DBMS"
"121","What is the primary purpose of data replication in distributed databases?","High Availability","Load Balancing","Disaster Recovery","All of the above","D","technical","DBMS"
"122","Which replication setup allows multiple servers to receive data from one server?","Master-Slave","Master-Master","Peer-to-Peer","All of the above","A","technical","DBMS"
"123","What is a main benefit of geographical data distribution?","Reduced latency","Data masking","Query optimization","Schema versioning","A","technical","DBMS"
"124","Which approach improves database resilience against regional failures?","Geographical Redundancy","Regular Backups","Monitoring","Failover Mechanisms","A","technical","DBMS"
"125","Automatic failover ensures?","Seamless switch to standby database","Data encryption","Query caching","Schema versioning","A","technical","DBMS"
"126","Which type of NoSQL database stores data as key-value pairs?","Document Store","Key-Value Store","Column-Family Store","Graph Database","B","technical","DBMS"
"127","MongoDB is an example of which NoSQL type?","Document Store","Key-Value Store","Column-Family Store","Graph Database","A","technical","DBMS"
"128","Which NoSQL type is best for time-series data?","Document Store","Key-Value Store","Column-Family Store","Graph Database","C","technical","DBMS"
"129","Neo4j is an example of which NoSQL database?","Graph Database","Document Store","Key-Value Store","Column-Family Store","A","technical","DBMS"
"130","Incremental loading in ETL helps to?","Reduce processing time","Increase storage","Improve encryption","Enable replication","A","technical","DBMS"
"131","Parallel processing in ETL is used to?","Speed up jobs","Encrypt data","Ensure rollback","Monitor users","A","technical","DBMS"
"132","Partitioning large datasets helps?","Improve performance","Enhance encryption","Maintain audit logs","Ensure authentication","A","technical","DBMS"
"133","What is essential for monitoring ETL processes?","Logs","Encryption","Indexes","Triggers","A","technical","DBMS"
"134","Low-latency storage for streaming data is needed for?","Real-time processing","Data masking","Schema migration","Replication","A","technical","DBMS"
"135","Apache Kafka is used for?","Real-time data streaming","Query optimization","Data masking","Database encryption","A","technical","DBMS"
"136","Which database design is best for high-performance e-commerce applications?","Normalized","Denormalized","Both A and B","NoSQL only","C","technical","DBMS"
"137","Using Redis or Memcached in e-commerce improves?","Caching performance","Query performance","Migration safety","Backup speed","A","technical","DBMS"
"138","Which tool can analyze query execution plans?","EXPLAIN","Flyway","Liquibase","Kafka","A","technical","DBMS"
"139","When migrating to cloud, encryption ensures?","Secure data transfer","Query optimization","Load balancing","Replication","A","technical","DBMS"
"140","Point-in-time recovery helps to?","Restore database to specific time","Encrypt data","Ensure replication","Enable caching","A","technical","DBMS"
"141","Distributed transaction management ensures?","Data consistency","High availability","Query caching","ETL optimization","A","technical","DBMS"
"142","Which strategy reduces downtime during schema changes?","Staging Environment","Version Control","Maintenance Window","All of the above","D","technical","DBMS"
"143","Real-time analytics databases combine which two processing types?","OLTP and OLAP","ETL and OLTP","OLAP and NoSQL","OLTP and NoSQL","A","technical","DBMS"
"144","In real-time analytics, columnar storage is used for?","Fast query performance","Data replication","Backup security","Data masking","A","technical","DBMS"
"145","Caching frequently accessed analytical data improves?","Query speed","Security","Replication","Migration","A","technical","DBMS"
"146","Which ensures sensitive data security in DB?","Encryption","Access Control","Data Masking","All of the above","D","technical","DBMS"
"147","Database triggers for logging changes are used in?","Audit mechanisms","ETL processes","Query caching","Failover monitoring","A","technical","DBMS"
"148","Storing change logs in Kafka is useful for?","Streaming and analysis","Query optimization","Schema migration","Replication","A","technical","DBMS"
"149","Which practice is critical for mission-critical databases?","Regular backups","Monitoring","Testing recovery","Both A and B","D","technical","DBMS"
"150","Ensuring eventual consistency is essential for?","Distributed databases","ETL pipelines","Query caching","Page caching","A","technical","DBMS"
"151","Which layer of the OSI model is responsible for routing?","Transport","Network","Data Link","Application","B","technical","Networking"
"152","Which protocol is used to transfer files securely over the network?","FTP","HTTP","SFTP","SMTP","C","technical","Networking"
"153","What does DHCP provide to network clients?","IP Address","MAC Address","DNS Name","Subnet Mask","A","technical","Networking"
"154","Which protocol resolves domain names to IP addresses?","FTP","DNS","DHCP","SMTP","B","technical","Networking"
"155","Which layer of TCP/IP corresponds to the OSI Transport layer?","Network","Application","Transport","Link","C","technical","Networking"
"156","Which device connects multiple networks together?","Switch","Hub","Router","Access Point","C","technical","Networking"
"157","What is the primary function of a firewall?","Encrypt data","Filter traffic","Assign IPs","Resolve DNS","B","technical","Networking"
"158","Which IP address class provides 16 million hosts?","Class A","Class B","Class C","Class D","A","technical","Networking"
"159","Subnetting helps in?","Efficient IP management","Encrypting traffic","Routing packets","Assigning DNS","A","technical","Networking"
"160","Which protocol provides secure web communication?","HTTP","HTTPS","FTP","SFTP","B","technical","Networking"
"161","What is the purpose of NAT?","Encrypt data","Translate private to public IPs","Route packets","Monitor traffic","B","technical","Networking"
"162","Which device operates at the Data Link layer?","Hub","Switch","Router","Firewall","B","technical","Networking"
"163","Which protocol is used to send emails?","SMTP","FTP","DNS","IMAP","A","technical","Networking"
"164","What is a VLAN used for?","Segmenting networks","Encrypting traffic","Assigning IPs","Routing packets","A","technical","Networking"
"165","Which protocol ensures reliable communication?","UDP","TCP","IP","ICMP","B","technical","Networking"
"166","Wireless networks use which standard for Wi-Fi?","IEEE 802.3","IEEE 802.11","IEEE 802.15","IEEE 802.5","B","technical","Networking"
"167","What does ICMP protocol do?","Route packets","Error reporting and diagnostics","Assign IPs","Filter traffic","B","technical","Networking"
"168","Which port is default for HTTP?","21","22","80","443","C","technical","Networking"
"169","Which port is default for HTTPS?","80","21","22","443","D","technical","Networking"
"170","Which topology has a single central node connected to all devices?","Mesh","Bus","Star","Ring","C","technical","Networking"
"171","Which layer of OSI handles encryption?","Application","Presentation","Session","Network","B","technical","Networking"
"172","What is the purpose of a proxy server?","Filter traffic","Cache requests","Hide client IP","Both B and C","D","technical","Networking"
"173","Which protocol is used for remote secure login?","Telnet","SSH","FTP","HTTP","B","technical","Networking"
"174","What is the maximum number of hosts in a /24 subnet?","254","255","256","512","A","technical","Networking"
"175","Which protocol translates domain names to IP addresses?","DNS","DHCP","FTP","SMTP","A","technical","Networking"
"176","Which device forwards data based on MAC addresses?","Router","Switch","Hub","Firewall","B","technical","Networking"
"177","Which protocol is connectionless?","TCP","UDP","HTTP","SMTP","B","technical","Networking"
"178","Which WAN technology uses packet switching?","Frame Relay","DSL","Ethernet","Wi-Fi","A","technical","Networking"
"179","What is the purpose of a load balancer?","Distribute traffic","Assign IPs","Encrypt data","Route packets","A","technical","Networking"
"180","Which layer of OSI defines electrical signals?","Physical","Data Link","Network","Transport","A","technical","Networking"
"181","Which IP version uses 128-bit addresses?","IPv4","IPv6","IPX","ARP","B","technical","Networking"
"182","What is the primary purpose of ARP?","Resolve IP to MAC","Resolve domain names","Assign IPs","Encrypt traffic","A","technical","Networking"
"183","Which wireless security protocol is most secure?","WEP","WPA","WPA2","WPA3","D","technical","Networking"
"184","Which protocol is used for network time synchronization?","NTP","SMTP","DHCP","FTP","A","technical","Networking"
"185","What does a hub do?","Filter packets","Broadcasts to all devices","Route traffic","Assign IPs","B","technical","Networking"
"186","Which protocol is used for network diagnostics?","FTP","ICMP","SMTP","DNS","B","technical","Networking"
"187","Which type of IP address is assigned temporarily?","Static IP","DHCP IP","Private IP","Loopback IP","B","technical","Networking"
"188","Which protocol is used for email retrieval?","SMTP","IMAP","HTTP","FTP","B","technical","Networking"
"189","What is a broadcast address used for?","Send message to one host","Send message to all hosts in network","Route packets","Assign IPs","B","technical","Networking"
"190","Which OSI layer establishes, manages, and terminates sessions?","Session","Transport","Network","Data Link","A","technical","Networking"
"191","Which protocol provides encryption for VPN tunnels?","IPSec","TCP","UDP","ICMP","A","technical","Networking"
"192","Which layer handles error detection and correction?","Data Link","Network","Transport","Application","A","technical","Networking"
"193","Which protocol is used for transferring web pages?","HTTP","SMTP","FTP","DHCP","A","technical","Networking"
"194","Which addressing type is used in IPv6 for multiple destinations?","Unicast","Multicast","Broadcast","Anycast","B","technical","Networking"
"195","Which routing protocol is distance-vector based?","RIP","OSPF","BGP","EIGRP","A","technical","Networking"
"196","Which routing protocol is link-state based?","RIP","OSPF","BGP","EIGRP","B","technical","Networking"
"197","Which IP address is reserved for loopback?","127.0.0.1","192.168.1.1","10.0.0.1","255.255.255.0","A","technical","Networking"
"198","Which type of NAT maps multiple private IPs to one public IP?","Static NAT","Dynamic NAT","PAT","Port Forwarding","C","technical","Networking"
"199","Which topology connects all devices in a closed loop?","Ring","Bus","Star","Mesh","A","technical","Networking"
"200","Which protocol ensures email delivery reliability?","SMTP","IMAP","POP3","All of the above","D","technical","Networking"
